date,season,team1,team2,elo1,elo2,elo_prob1,score1,score2
1991-09-01,1991,pit,sdg,1528.78,1476.043,0.6632360349354941,26,20
1991-09-01,1991,was,det,1580.573,1483.659,0.7174913874265485,45,0
1991-09-01,1991,oti,rai,1531.565,1570.961,0.5367805589298079,47,17
1991-09-01,1991,nyj,tam,1421.338,1426.157,0.5857515196053432,16,13
1991-09-01,1991,nor,sea,1519.452,1529.56,0.5783451511988811,27,24
1991-09-01,1991,kan,atl,1568.478,1431.601,0.7617136193458433,14,3
1991-09-01,1991,gnb,phi,1444.523,1557.521,0.4313614321051622,3,20
1991-09-01,1991,clt,nwe,1489.69,1330.13,0.78459898634521,7,16
1991-09-01,1991,cle,dal,1391.749,1436.228,0.529497799116786,14,26
1991-09-01,1991,chi,min,1524.324,1504.897,0.6191638901947936,10,6
1991-09-01,1991,buf,mia,1633.684,1563.448,0.6853526410861622,35,31
1991-09-01,1991,ram,crd,1481.595,1420.77,0.6735547249489253,14,24
1991-09-02,1991,nyg,sfo,1634.812,1652.242,0.5680341318976185,16,14
1991-09-08,1991,sea,nyj,1518.154,1432.518,0.70414826834507,20,13
1991-09-08,1991,phi,crd,1581.925,1455.032,0.7511256697648259,10,26
1991-09-08,1991,cin,oti,1493.67,1563.013,0.4937502461011009,7,30
1991-09-08,1991,sfo,sdg,1642.952,1463.603,0.8032268938503396,34,14
1991-09-08,1991,buf,pit,1643.225,1541.221,0.723392476838962,52,34
1991-09-08,1991,atl,min,1420.754,1493.091,0.4894427775256199,19,20
1991-09-08,1991,tam,chi,1414.978,1536.129,0.4198884970064003,20,21
1991-09-08,1991,nwe,cle,1370.369,1364.331,0.6008307094933154,0,20
1991-09-08,1991,nyg,ram,1644.102,1447.333,0.8185959114246641,13,19
1991-09-08,1991,rai,den,1539.513,1511.561,0.6306659309934317,16,13
1991-09-08,1991,det,gnb,1463.51,1420.12,0.6511147893432758,23,14
1991-09-08,1991,kan,nor,1579.325,1530.858,0.6577241340758954,10,17
1991-09-08,1991,mia,clt,1553.906,1449.45,0.7262078742693439,17,6
1991-09-09,1991,dal,was,1463.647,1600.723,0.3977371044975692,31,33
1991-09-15,1991,cle,cin,1402.136,1462.348,0.5068900497212885,14,13
1991-09-15,1991,rai,clt,1549.338,1436.816,0.7353422931925634,16,0
1991-09-15,1991,pit,nwe,1526.081,1332.564,0.8157994549915613,20,6
1991-09-15,1991,nyj,buf,1421.002,1658.365,0.2704775215160461,20,23
1991-09-15,1991,min,sfo,1499.853,1653.735,0.3748077626544078,17,14
1991-09-15,1991,gnb,tam,1404.808,1409.302,0.586205402286959,15,13
1991-09-15,1991,det,mia,1478.822,1566.54,0.4673526850207543,17,13
1991-09-15,1991,nor,ram,1559.7,1483.494,0.6927158670080276,24,7
1991-09-15,1991,den,sea,1501.736,1529.669,0.5531422286670038,16,10
1991-09-15,1991,dal,phi,1455.185,1535.295,0.4782686610892861,0,24
1991-09-15,1991,sdg,atl,1452.819,1413.991,0.6451258083622724,10,13
1991-09-15,1991,chi,nyg,1541.805,1607.941,0.4983651704098201,20,17
1991-09-15,1991,was,crd,1609.185,1501.661,0.729705313353279,34,0
1991-09-16,1991,oti,kan,1594.334,1550.483,0.6517173799576514,17,7
1991-09-22,1991,nor,min,1576.392,1517.917,0.6705733195876286,26,0
1991-09-22,1991,mia,gnb,1549.216,1413.656,0.7603348460043414,16,13
1991-09-22,1991,kan,sea,1534.568,1512.566,0.6226529008250589,20,13
1991-09-22,1991,crd,dal,1483.839,1424.605,0.6715377663966169,9,17
1991-09-22,1991,clt,det,1422.939,1496.146,0.4881913738409509,24,33
1991-09-22,1991,cin,was,1455.527,1627.007,0.3513869783244979,27,34
1991-09-22,1991,atl,rai,1432.764,1563.215,0.4069070762549908,21,17
1991-09-22,1991,sfo,ram,1635.672,1466.802,0.7935181567621739,27,10
1991-09-22,1991,den,sdg,1518.839,1434.046,0.7031363368666742,27,19
1991-09-22,1991,nyg,cle,1594.026,1408.958,0.8083783149440211,13,10
1991-09-22,1991,nwe,oti,1323.636,1610.25,0.2182808951203299,24,20
1991-09-22,1991,tam,buf,1400.453,1665.319,0.2403939001815692,10,17
1991-09-22,1991,phi,pit,1565.875,1535.008,0.6345658145899618,23,14
1991-09-23,1991,chi,nyj,1555.721,1414.048,0.7666883751034197,19,13
1991-09-29,1991,nyj,mia,1405.747,1555.306,0.3806569527044144,41,23
1991-09-29,1991,sdg,kan,1421.832,1549.664,0.4105505101759023,13,14
1991-09-29,1991,atl,nor,1452.44,1596.952,0.3875297227012251,6,27
1991-09-29,1991,buf,chi,1674.484,1564.021,0.7330291945540104,35,20
1991-09-29,1991,crd,nwe,1452.562,1351.618,0.7221698594089634,24,10
1991-09-29,1991,dal,nyg,1455.882,1598.796,0.3897153142025781,21,16
1991-09-29,1991,ram,gnb,1456.013,1407.566,0.6576982153508513,23,21
1991-09-29,1991,det,tam,1518.545,1391.288,0.7515171602095384,31,3
1991-09-29,1991,min,den,1497.356,1531.053,0.5449271383289817,6,13
1991-09-29,1991,sea,clt,1497.47,1400.541,0.7175088894066151,31,3
1991-09-29,1991,rai,sfo,1543.538,1646.461,0.4456401254507967,12,6
1991-09-30,1991,was,phi,1640.946,1582.001,0.6711707095938887,23,0
1991-10-06,1991,nwe,mia,1337.625,1517.375,0.3406151519810789,10,20
1991-10-06,1991,tam,phi,1375.899,1562.215,0.3321779264142615,14,13
1991-10-06,1991,oti,den,1582.268,1554.043,0.6310319029654385,42,14
1991-10-06,1991,nyg,crd,1576.124,1466.554,0.7320220036574178,20,9
1991-10-06,1991,gnb,dal,1400.414,1478.554,0.4810990307278455,17,20
1991-10-06,1991,det,min,1533.934,1474.366,0.67196171645919,24,20
